ts,pac_x,pac_y,score,desired,current
1768816759.434648,9,1,0.0,Stop,Stop
1768816759.595419,9,1,-1.0,Stop,Stop
1768816759.787788,9,1,-2.0,Stop,Stop
1768816759.967201,9,1,-3.0,Stop,Stop
1768816760.148911,9,1,-4.0,Stop,Stop
1768816760.348230,9,1,-5.0,Stop,Stop
1768816760.537687,9,1,-6.0,Stop,Stop
1768816760.719136,9,1,-7.0,Stop,Stop
1768816760.890458,9,1,-8.0,Stop,Stop
1768816761.072051,9,1,-9.0,Stop,Stop
1768816761.341299,9,1,-10.0,Stop,Stop
1768816761.529938,9,1,-11.0,Stop,Stop
1768816761.741848,9,1,-12.0,Stop,Stop
1768816761.928749,9,1,-13.0,Stop,Stop
1768816762.131148,9,1,-14.0,Stop,Stop
1768816762.303673,9,1,-15.0,Stop,Stop
1768816762.481684,9,1,-16.0,East,East
1768816762.655413,10,1,-7.0,East,East
1768816762.831017,11,1,2.0,East,East
1768816763.003548,12,1,11.0,East,East
1768816763.189930,13,1,20.0,East,Stop
1768816763.369933,13,1,19.0,East,Stop
1768816763.548741,13,1,18.0,East,Stop
1768816763.732380,13,1,17.0,East,Stop
1768816763.907687,13,1,16.0,East,Stop
1768816764.089068,13,1,15.0,East,Stop
1768816764.273751,13,1,14.0,East,Stop
1768816764.450719,13,1,13.0,East,Stop
1768816764.627715,13,1,12.0,North,North
1768816764.809459,13,2,21.0,North,North
1768816764.991334,13,3,30.0,North,North
1768816765.189192,13,4,39.0,North,North
1768816765.372722,13,5,48.0,North,North
1768816765.567125,13,6,57.0,North,North
1768816765.761122,13,7,66.0,North,North
1768816765.956248,13,8,75.0,North,North
1768816766.166601,13,9,84.0,North,Stop
1768816766.362041,13,9,83.0,West,West
1768816766.535788,12,9,92.0,West,West
1768816766.730575,11,9,101.0,West,West
1768816766.918895,10,9,110.0,West,West
1768816767.110835,9,9,119.0,West,West
1768816767.347818,8,9,128.0,West,West
1768816767.552888,7,9,137.0,East,East
1768816767.735604,8,9,136.0,East,East
1768816767.933091,9,9,135.0,East,East
1768816768.130131,10,9,134.0,East,East
1768816768.343290,11,9,133.0,East,East
1768816768.536510,12,9,132.0,East,East
1768816768.725679,13,9,131.0,East,Stop
1768816768.915748,13,9,130.0,East,Stop
